epi_mcode,parid,loglik,rho,tau,beta1,beta2,beta3,beta4,beta5,beta6,nu,gamma,sigma,theta0,alpha,mu,delta,S_0,E_0,I_0,A_0,R_0,incid_0,pop_0
final,190,-1994.2696929393476,0.7744026033438196,11.119508232704177,2.320650127948585,5.593590191338506,0.22280310875502232,6.1234707486590265,1.5260898082873344,4.457469894435717,0.9813975772802385,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,1.4331703604564272e-4,0.9240585779621016,3.233498842158684e-5,4.142652362765635e-5,0,0.07586766052584915,1262,11659197
final,13,-2004.803546543987,0.27939797243993136,19.07911259466806,6.529836690730111,2.817679028320968,5.454953506373381,1.8544323787535406,6.872327587732552,1.5928866179347576,0.9675469696722437,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,1.4331703604564272e-4,0.8373863795621215,5.0003370724647475e-5,6.475565162454347e-5,0,0.16249886141552927,2108,11659214
final,80,-2008.9710456995422,0.9428465744999859,7.762723691954365,4.395076501312497,3.3410842391123783,3.9092003374613062,3.1711014302635916,4.039035593033838,3.491910371190685,0.9571388979195162,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,1.4331703604564272e-4,0.9672845522207368,2.0070037569566482e-5,2.6845819484078243e-5,0,0.03266853192220953,870,11659171
final,267,-2011.5931999069214,0.875509761968398,12.392399606277612,5.5489851127358945,3.0727870680532443,4.265239440136562,2.435247305156764,5.583658936036974,1.844043711493531,0.9579968533635227,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,1.4331703604564272e-4,0.9544552046979451,2.3673625111334656e-5,3.096441545359352e-5,0,0.04549015726148997,972,11658544
final,113,-2012.3020548922532,0.5608591592637855,11.075929107037982,7.029255073645619,0.5623201197169698,6.005404545568987,0.255582135000624,6.578518877724759,0.17030979842665533,0.982093483870801,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,1.4331703604564272e-4,0.9065866281970579,2.067121050179835e-5,2.8476522351025115e-5,0,0.09336422407008926,917,11658727
final,93,-2017.2696248609225,0.8843429418972827,18.369468112122988,3.482637725154239,3.987239096513146,2.402238023227847,3.5181494309600794,3.42719812178585,3.5012409307251446,0.9743415779783535,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,1.4331703604564272e-4,0.9542161874699787,1.4495985727029438e-5,1.7755438139024222e-5,0,0.0457515611061553,571,11658400
final,11,-2017.7333025249766,0.35185051361723513,16.062919112472105,6.887165348381215,2.4363607551949698,5.368489625229417,1.9302578261311774,6.69332186888239,1.0201407075589535,0.9635895950556956,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,1.4331703604564272e-4,0.8810947314541417,4.8115200655395934e-5,6.260979764427635e-5,0,0.11879454354755858,2008,11659517
final,5,-2020.3625605733262,0.9368040119482779,4.634645073794832,5.6213233775981655,1.461957708772761,4.319092778130928,0.9208600903004505,5.990522040450612,0.38736635004639064,0.991309777686515,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,1.4331703604564272e-4,0.9315885176328511,2.315823421037283e-6,2.830450847934457e-6,0,0.06840633609287994,93,11658920
final,143,-2022.8851704129036,0.9433646943693971,6.487709105457422,4.314881422874436,4.448283301342622,2.1694201730623166,4.487027974295476,4.1062436486328195,3.113177753568368,0.9544157189547837,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,1.4331703604564272e-4,0.9681827729497777,1.6810777629692362e-5,2.0498856395390176e-5,0,0.03177991741619712,644,11659187
final,58,-2027.6457676553405,0.9600809734207347,5.9703328280955175,1.4431143342709987,6.621756900745596,0.10456417378121463,6.4171557715096705,0.8468326577214009,5.634086897987415,0.9669025536301882,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,1.4331703604564272e-4,0.962977407891044,2.753336082666643e-5,3.533876841304227e-5,0,0.036959719979716366,1082,11658584
final,127,-2028.4508241493027,0.8653619313269617,16.646401787162702,6.0368591009258985,1.7619206264814424,4.744187120817499,1.438936316685726,5.67883368870994,0.8595948434190648,0.9740656047572621,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,1.4331703604564272e-4,0.9496260092535349,1.9383980529563486e-5,2.5473638129559093e-5,0,0.05032913312780596,864,11659112
final,145,-2032.3312598783264,0.335188070049395,9.463042624077717,6.498789574931655,3.312980293865534,5.612757010427596,2.445859572834856,7.318609587414448,2.0003262488676703,0.9458133595239694,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,1.4331703604564272e-4,0.8982791269811929,4.726188565660097e-5,6.047119671125895e-5,0,0.10161313993643917,1972,11658443
final,84,-2040.8930464110695,0.965114749663726,21.344789598703535,6.023368614796659,1.5030274397553243,4.964476501627778,1.070769462408558,5.865642724104521,0.6269814273881416,0.9774214215609287,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,1.4331703604564272e-4,0.9501229282897009,2.1100623986623234e-5,2.650444232466089e-5,0,0.049829466643987796,888,11658423
final,260,-2044.641979266184,0.7938006068161514,15.311989664827848,5.089280786942563,2.9959159801705595,3.65183904059245,2.9833627885684377,4.404722548645077,2.3963920897346345,0.9659132433414646,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,1.4331703604564272e-4,0.9544372186693748,2.3844485919745292e-5,3.070620848657847e-5,0,0.045508230636218894,987,11658880
final,161,-2053.1449059457364,0.9815275976619214,8.663893030964852,6.9320524654762865,1.5579552258193414,6.175450578732667,0.6376397425766928,7.223505185984198,1.1220007173245892,0.9510230804295072,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,1.4331703604564272e-4,0.9579919981082414,1.3380229321691848e-5,1.6639515951334734e-5,0,0.041977982146485515,541,11658993
final,151,-2056.5768872116005,0.7671047906125567,7.299673362848955,7.473347563150188,1.3532443244026646,6.57616364357834,0.630632690387868,7.730130007743664,0.4358131671155311,0.9476662084508142,3.5,4.999999999999999,0,0.0023972602739726024,4.287148804784646e-4,1.4331703604564272e-4,0.9595540395226229,1.9127197665692782e-5,2.5474339491976483e-5,0,0.040401358940219456,835,11658791
