week,S_med,E_med,I_med,A_med,R_med,incid_med,pop_med,cases_med,S_mean,E_mean,I_mean,A_mean,R_mean,incid_mean,pop_mean,cases_mean,S_lo,E_lo,I_lo,A_lo,R_lo,incid_lo,pop_lo,cases_lo,S_hi,E_hi,I_hi,A_hi,R_hi,incid_hi,pop_hi,cases_hi,date
1,10892741,4664,5591,0,11862,17181,10914923,8185,10892630.28,4681.32,5570.4,0,12047.4,17362,10914929.4,8094.6,10889513.2,3496.5999999999995,4523,0,11330.400000000001,15708.2,10914798,6688.4,10895290.2,6118.399999999999,7043.199999999999,0,13517.399999999998,19841,10915089,9484.599999999999,2010-10-21
2,10878279,4791,6146,0,28345,17386,10918023,7963,10878454.56,5016.92,6262.48,0,28293.92,16988.08,10918027.88,7900,10869387.600000001,3235.6,4511.4,0,23577,12356.2,10917883.6,5558.200000000001,10886034.2,7331.399999999999,8245.999999999998,0,33059.399999999994,21900.6,10918273.2,10447.999999999998,2010-10-28
3,10863526,5155,6576,0,45749,17567,10921119,8221,10862392.04,5421.44,6930.24,0,46403.28,18870.36,10921147,8631.64,10843845.8,3203.2,4307.799999999999,0,36958.8,12065.6,10920977,5588.799999999999,10876445.2,8275.199999999997,10886.199999999999,0,59206.999999999985,28968.59999999999,10921332.4,13354.999999999996,2010-11-04
4,10846931,4901,7141,0,64352,19520,10924273,8770,10846170,5346.2,7178.12,0,65572.92,19555.08,10924267.24,9030.96,10812741,2989.6,4044,0,48688.600000000006,11241.6,10924003.600000001,4817.200000000001,10868180.4,10836.8,11824.999999999996,0,88855.39999999998,31826.999999999993,10924497.4,14529.999999999993,2010-11-11
5,10829652,5053,6560,0,84904,18478,10927382,8512,10829623.64,5500.52,7208.92,0,85028.32,19671.84,10927361.4,9037.68,10780904,2506.2000000000003,3635.2,0,59603.399999999994,10206.4,10927057.2,4583.6,10861513,10279.799999999996,13271.199999999997,0,123187.79999999997,35220.59999999999,10927655.8,16987.999999999996,2010-11-18
6,10815464,5558,7039,0,103643,18320,10930505,8647,10812507.8,5783.28,7410.72,0,104807.44,20216.6,10930509.24,9323.96,10746302,2410.4,3113,0,68970.4,8884.6,10930184.399999999,4272.8,10855611.2,10666.399999999996,13843.599999999997,0,159810.8,38475.99999999999,10930848.6,17623.599999999995,2010-11-25
7,10800241,5314,7549,0,120128,20758,10933622,9789,10795752.88,5441,7471.8,0,124978.48,20517.16,10933644.16,9558.32,10721337.6,2101.2,3109.8,0,77955.8,8924,10933328,4479,10849681.4,9175.399999999998,12540.799999999997,0,194900,37488.2,10933990.6,15470.799999999992,2010-12-02
8,10783010,5480,7109,0,141388,19663,10936777,9048,10778798.68,5657.04,7311.4,0,145003,20202.72,10936770.12,9341.4,10696453.6,2262.2,2930,0,87816.4,7878,10936396.600000001,3623.2000000000003,10843947.6,10780.999999999993,13205.399999999998,0,220960.19999999995,34179.799999999996,10937135.4,16284,2010-12-09
9,10770271,4963,6191,0,159280,17789,10939908,8164,10762424.24,5587.64,7276.32,0,164586.52,19935.8,10939874.72,9090.56,10666352.6,2290.8,2898.2,0,94878.8,7584.200000000001,10939464.399999999,3533,10840151.6,11289.999999999993,14675.39999999999,0,250477.39999999994,38166.99999999998,10940326.2,16411.59999999999,2010-12-16
10,10751253,4821,6279,0,177829,17607,10943008,8246,10746817.76,5267.72,6890.6,0,184013.36,19483.96,10942989.44,8892.36,10632826.8,2299.8,3165.2,0,102410.6,8495.8,10942592.8,3957.4000000000005,10835247.8,10925.399999999996,13123.799999999996,0,286212.9999999999,37684.59999999998,10943464,17145.199999999993,2010-12-23
