week,S_med,E_med,I_med,A_med,R_med,incid_med,pop_med,cases_med,S_mean,E_mean,I_mean,A_mean,R_mean,incid_mean,pop_mean,cases_mean,S_lo,E_lo,I_lo,A_lo,R_lo,incid_lo,pop_lo,cases_lo,S_hi,E_hi,I_hi,A_hi,R_hi,incid_hi,pop_hi,cases_hi,date
1,10750559,55332,44309,0,67281,110925,10914952,9411,10740776.92,57554.56,47642.32,0,68953.84,116601.6,10914927.64,10174.68,10679152.8,37745,35769,0,59848.399999999994,97665.2,10914734.8,8458.8,10773546.8,81648.2,69962.59999999999,0,84896.4,154872,10915051.399999999,13645.8,2010-10-21
2,10401085,131577,119423,0,257965,266140,10918050,23065,10341041.24,148778.48,138578.2,0,289667.8,312025.52,10918065.72,26512,9977726.2,73032.6,81076,0,222466.2,196046.2,10917921.2,16213.6,10527945,281164.4,260648.8,0,424477.8,520718,10918236.600000001,43323.2,2010-10-28
3,9354142,335894,350356,0,819945,802739,10921223,66938,9290457.96,370516.08,367360,0,892867.08,833287.76,10921201.12,71379.36,8297142,171983.40000000002,208915.6,0,562181,458508,10920968.4,38720.4,9983763,580070.7999999999,572836.9999999999,0,1471303.6,1377469.4,10921407.4,118414.19999999995,2010-11-04
4,7589111,582741,634082,0,2157173,1642601,10924373,149192,7405375.16,590094.68,663779.48,0,2265120.2,1672304.56,10924369.52,142328.28,6059605.8,346224.2,407587.4,0,1422078.6,1054522,10924105.6,89377.8,8703590.2,851255,884336.5999999999,0,3372881.3999999994,2220460.4,10924630,197013.59999999998,2010-11-11
5,5135612,592033,789399,0,4284901,2305096,10927529,189108,5145993.2,580235.64,818375.48,0,4382930.84,2280442.44,10927535.16,196287.64,3664522.8,378566,570340,0,2898805.6,1482071.8,10927258.2,123076.6,6877338.8,773326.2,1166291.1999999997,0,5641565.4,3252375.3999999994,10927880.2,282311,2010-11-18
6,3689955,310192,559826,0,6377289,1701545,10930731,150188,3664629.8,358202.08,555911.56,0,6351986.88,1720123.76,10930730.32,148575.8,2606870.8,212202,354858.4,0,4766645.2,1272288.2000000002,10930409.2,101159.8,4989381.6,634246,797880.7999999996,0,7628076.199999999,2310773.5999999996,10931067.4,201411.99999999994,2010-11-25
7,2910155,141584,247027,0,7635965,859343,10933858,70696,2967980.88,150111.04,281409.2,0,7534365.2,925499.36,10933866.32,78845.6,2199865.6,56645,134224.2,0,6398965.6,467688.80000000005,10933473.6,39535.6,3769681.3999999994,286759,505569.3999999999,0,8468176.6,1667310.1999999997,10934206,137943.4,2010-12-02
8,2647176,47064,94501,0,8094187,328140,10937056,29662,2721171.92,56847.08,108539.96,0,8050438.68,363029.32,10936997.64,30940.12,2122441.6,19188.2,42968.600000000006,0,7360500,147053,10936616,12491,3325963.2,105717.39999999997,212767.2,0,8754598.8,711989.2,10937394,59160.399999999994,2010-12-09
9,2552805,15333,35375,0,8326059,124534,10940124,10326,2644583.04,19877,40230.96,0,8235430.6,137383.04,10940121.6,11832.28,2091504.2,4852.8,11757.4,0,7677080.800000001,42252.6,10939753.6,3621.8,3154898.2,39983,77044.59999999999,0,8810424.8,267518.8,10940489.399999999,24242.199999999997,2010-12-16
10,2565662,5730,13602,0,8370132,42559,10943291,3821,2632446.28,7213.72,14382.24,0,8289204.76,48928.32,10943247,4202.56,2101197.4,1013.8000000000002,2749.8,0,7797273.6,9753.4,10942801.2,844.2,3108754,16247.599999999997,32068.799999999996,0,8832513.8,104924.19999999998,10943614,9028.599999999999,2010-12-23
11,2586874,2031,3902,0,8357278,14019,10946350,1268,2644243.12,2557.12,4995.52,0,8294563.08,17011.72,10946358.84,1470.64,2123780.2,225.39999999999998,665.4,0,7820936.4,2373,10945876.600000001,212.4,3118526,6470.999999999999,11747,0,8820852.799999999,38334.99999999999,10946766.8,3381.199999999999,2010-12-30
12,2610034,827,1581,0,8338391,5089,10949532,417,2664020.2,899.68,1779.84,0,8282790.44,6110.64,10949490.16,522.08,2148506.6,73.2,159,0,7810220.6,518.6,10948991,54.2,3136045.5999999996,2196,4614.199999999999,0,8800621,16136,10949928.6,1454.8,2011-01-06
13,2634125,229,530,0,8317891,1814,10952623,164,2686490.36,333.28,663.52,0,8265118.16,2228.92,10952605.32,183.64,2173785.2,23.799999999999997,38.6,0,7794508.6,150.6,10952145.4,6.200000000000001,3156774.8,988.9999999999998,1797.9999999999995,0,8778798.6,5961.7999999999975,10953102.4,512.1999999999999,2011-01-13
14,2658097,95,170,0,8297225,552,10955809,48,2709947.68,130.4,254.84,0,8245433.4,826.96,10955766.32,72.2,2199042.6,4.4,17.2,0,7776397.2,56,10955281.4,5.2,3178881,403.79999999999984,710.4,0,8756708.2,2271.2,10956317.6,207.4,2011-01-20
15,2682109,40,82,0,8276374,256,10958865,24,2733702.08,48.64,99.4,0,8225026.12,331.36,10958876.24,29.68,2224336.8,0,3,0,7757386,9.600000000000001,10958395.8,1.6,3201273.8,129.4,280.79999999999995,0,8734506.4,949.5999999999997,10959501,87.6,2011-01-27
16,2706190,12,27,0,8255334,113,10961988,8,2757611.12,21.92,40.4,0,8204330.88,131.48,10962004.32,10.44,2249692,0.6000000000000001,0.6000000000000001,0,7738087.600000001,3.0000000000000004,10961435.2,0,3223789.8,61.8,109.39999999999995,0,8712277.2,350.99999999999983,10962681.399999999,27.199999999999996,2011-02-03
17,2730388,6,11,0,8234292,34,10965111,2,2781446.52,9.64,19.08,0,8183658.24,57.96,10965133.48,4.84,2274684.4,0,0,0,7718535.2,0.6000000000000001,10964498.6,0,3246561.5999999996,28.79999999999999,51.199999999999996,0,8690414.8,161.79999999999998,10965859.8,18.39999999999999,2011-02-10
18,2754300,2,5,0,8213444,17,10968233,2,2805356.96,4.12,8.8,0,8162896.68,25.52,10968266.56,2.32,2299724.4,0,0,0,7698989,0,10967631.8,0,3269278,15.599999999999994,26,0,8668465,76.39999999999998,10969035.2,8.199999999999996,2011-02-17
19,2778456,0,2,0,8192405,6,10971365,0,2829210.36,1.64,3.04,0,8142176.8,11.32,10971391.84,0.8,2324696.4,0,0,0,7679587.8,0,10970768.4,0,3291751.2,8.799999999999997,10.399999999999999,0,8646503,35.8,10972161.6,4,2011-02-24
20,2802628,0,0,0,8171407,1,10974504,0,2852961.44,0.76,1.44,0,8121573.12,4.48,10974536.76,0.28,2349837.2,0,0,0,7660408.6,0,10973918.4,0,3314080.5999999996,4.799999999999997,6,0,8624466.6,21.19999999999999,10975367.2,1.3999999999999986,2011-03-03
21,2826407,0,0,0,8150717,0,10977660,0,2876699.36,0.48,1,0,8100988.52,3.16,10977689.36,0.12,2375024,0,0,0,7641141.199999999,0,10977109.2,0,3336541.2,4.199999999999996,5.799999999999997,0,8602481.6,17.199999999999996,10978590.2,1.3999999999999986,2011-03-10
22,2850338,0,0,0,8129900,0,10980808,0,2900449.36,0.32,0.52,0,8080375,1.52,10980825.2,0.08,2399980.4,0,0,0,7621516.6,0,10980296.2,0,3359320.5999999996,3.3999999999999915,4.199999999999996,0,8580664,10.599999999999987,10981736.8,0.7999999999999972,2011-03-17
23,2874084,0,0,0,8109274,0,10983878,0,2924115.16,0.4,0.4,0,8059839.12,1,10983955.08,0.04,2424910.4000000004,0,0,0,7601999.2,0,10983382,0,3381877.4,4.399999999999999,3.999999999999993,0,8558822,10.59999999999998,10984932.2,0.3999999999999986,2011-03-24
24,2897471,0,0,0,8088924,0,10987128,0,2947723.76,0.28,0.44,0,8039352.96,1.4,10987077.44,0.2,2449828.2,0,0,0,7582679.199999999,0,10986429.8,0,3404403.6,2.999999999999993,5.199999999999996,0,8537029.8,16.19999999999999,10987977.2,2.3999999999999986,2011-03-31
25,2921024,0,0,0,8068433,0,10990199,0,2971215,0.16,0.16,0,8018966.08,0.72,10990181.4,0.08,2474746.4,0,0,0,7563467.6,0,10989452.600000001,0,3426695,2,1.7999999999999972,0,8515290.6,8.199999999999989,10991096.8,0.7999999999999972,2011-04-07
26,2944603,0,0,0,8047976,0,10993319,0,2994688.84,0.08,0.16,0,7998638.48,0.44,10993327.56,0.04,2499402.2,0,0,0,7544246.800000001,0,10992505,0,3449060.6,0.7999999999999972,1.7999999999999972,0,8493761.6,4.999999999999993,10994241.8,0.3999999999999986,2011-04-14
27,2968229,0,0,0,8027500,0,10996471,0,3018105.4,0.12,0.32,0,7978343,0.44,10996448.84,0.08,2524104,0,0,0,7525004,0,10995662.2,0,3471405.4,1.3999999999999986,3.3999999999999915,0,8472166.600000001,4.599999999999987,10997388.8,0.7999999999999972,2011-04-21
28,2991675,0,0,0,8007232,0,10999644,0,3041469.76,0,0.08,0,7958116.92,0.28,10999586.76,0.04,2548634.6,0,0,0,7506020,0,10998817.4,0,3493535.2,0,0.7999999999999972,0,8450737.8,2.999999999999993,11000568.600000001,0.3999999999999986,2011-04-28
29,3014989,0,0,0,7986984,0,11002757,0,3064824.96,0,0,0,7937910.12,0,11002735.08,0,2573085.6,0,0,0,7487009.800000001,0,11001867.8,0,3515709.8,0,0,0,8429369,0,11003742.2,0,2011-05-05
30,3038393,0,0,0,7966740,0,11005835,0,3088067.4,0,0,0,7917786.24,0,11005853.64,0,2597594.2,0,0,0,7468173.8,0,11004994.6,0,3537663.2,0,0,0,8407933.2,0,11006904.8,0,2011-05-12
31,3061733,0,0,0,7946451,0,11008931,0,3111326.4,0,0,0,7897659.76,0,11008986.16,0,2622194.8,0,0,0,7449055.2,0,11008110.4,0,3559918.2,0,0,0,8386503,0,11010095.6,0,2011-05-19
32,3084869,0,0,0,7926412,0,11012081,0,3134499.84,0,0,0,7877627.04,0,11012126.88,0,2646582.2,0,0,0,7430289,0,11011238.2,0,3581796.8,0,0,0,8365224.8,0,11013191.8,0,2011-05-26
33,3108204,0,0,0,7906224,0,11015227,0,3157652.64,0,0,0,7857633.32,0,11015285.96,0,2671027,0,0,0,7411324,0,11014447.8,0,3603873.8,0,0,0,8344080.2,0,11016327.8,0,2011-06-02
34,3131696,0,0,0,7885854,0,11018401,0,3180758.84,0,0,0,7837677.56,0,11018436.4,0,2695336.6,0,0,0,7392337.4,0,11017564.4,0,3625964,0,0,0,8322925.800000001,0,11019525.8,0,2011-06-09
