week,S_med,E_med,I_med,A_med,R_med,incid_med,pop_med,cases_med,S_mean,E_mean,I_mean,A_mean,R_mean,incid_mean,pop_mean,cases_mean,S_lo,E_lo,I_lo,A_lo,R_lo,incid_lo,pop_lo,cases_lo,S_hi,E_hi,I_hi,A_hi,R_hi,incid_hi,pop_hi,cases_hi,date
1,10906073,1805,2271,0,4932,7153,10914984,6575,10905939.08,1809.36,2290.76,0,4923.56,7210.52,10914962.76,6645.32,10904674.8,1328.4,1872,0,4561.8,6581,10914828.399999999,5962,10907037.600000001,2377.2,2873.5999999999995,0,5293.4,8079.799999999999,10915052.2,7547.799999999999,2010-10-21
2,10902387,1899,2406,0,11310,6563,10918096,5939,10902347.28,1921.92,2458.28,0,11362.04,6625.32,10918089.52,6146.12,10898840.2,1481.6,1756.8,0,9844.8,5064.200000000001,10917920.8,4480.6,10904810.2,2730.399999999999,3169.2,0,13458.199999999999,8788.799999999997,10918307.2,8311.8,2010-10-28
3,10898815,1818,2500,0,18032,6785,10921242,6473,10898615.52,1885.92,2516.72,0,18201.8,6934.84,10921219.96,6563.24,10893047.2,1219.6,1841,0,15569.8,5321,10920999.8,5042.8,10902163.399999999,2950.2,3241.8,0,22200.8,9178.599999999999,10921401,9252.8,2010-11-04
4,10894599,1915,2513,0,25056,6686,10924308,5956,10894981.76,1916.72,2446.16,0,24964.44,6744.88,10924309.08,6230.72,10888326.8,1313.6,1647,0,20811.2,4580.2,10924054.2,4279.8,10900197.8,2786.7999999999997,3072.6000000000004,0,30808.4,8930.6,10924599.8,8473.2,2010-11-11
5,10891865,1732,2294,0,31823,6436,10927384,5936,10891595.24,1806.28,2397.24,0,31613.16,6669.88,10927411.92,6062.72,10884627.4,1163.4,1571,0,25770.8,4633.6,10927223.399999999,4022.2,10898684,2565.6,3286.5999999999995,0,38113.799999999996,9168.599999999999,10927686.2,8000.4,2010-11-18
6,10889168,1521,2114,0,37305,5898,10930546,5397,10888612.16,1653.72,2258.44,0,38028.48,6361.8,10930552.8,5980.64,10880567.2,1064.8,1365.8000000000002,0,30215.8,4147.200000000001,10930331.2,3791.8,10897676,2749.4,3290.6,0,45443,8856.2,10930755.2,8925.999999999998,2010-11-25
7,10887416,1528,2006,0,43139,5443,10933705,5101,10886121.44,1572.2,2111.84,0,43876.08,5800.36,10933681.56,5237.64,10876874.6,894.4000000000001,1254.8000000000002,0,34404.4,3688.8,10933401.600000001,3318.2,10896719.8,2606.7999999999993,3113.5999999999995,0,52321,8547.199999999999,10933914.8,8079.199999999999,2010-12-02
8,10886030,1412,1972,0,47721,5430,10936882,4968,10883786.64,1578,2021.44,0,49456.04,5610.6,10936842.12,5080.28,10872502.4,923,1167,0,38526.6,3250.2,10936568,2902.6,10895692.8,2469.2,3188.5999999999995,0,59697.6,8745.8,10937133.399999999,7959.999999999999,2010-12-09
9,10885326,1306,1813,0,52831,4959,10940033,4428,10881785.52,1435.36,1915.48,0,54822.24,5383.36,10939958.6,4953.8,10868488.4,799.8,1039.2,0,42494,3031.6,10939584.8,2889.2000000000003,10895562.6,2362.5999999999995,2910.999999999999,0,67042,8197.599999999999,10940347.2,7565,2010-12-16
10,10882701,1308,1647,0,56819,4683,10943105,3959,10879952.84,1433.28,1872.44,0,59799.52,5077.16,10943058.08,4538.16,10864409.8,748,1063.4,0,45710.8,2853.2,10942583.6,2607.8,10895088.2,2567.5999999999995,3162.2,0,73738.2,7918.199999999999,10943371.8,7254,2010-12-23
11,10881019,1214,1601,0,61331,4414,10946234,4267,10878463.76,1333.84,1736,0,64645.36,4868.44,10946178.96,4477.6,10859288.2,784.6,928.8,0,49071.8,2592.2000000000003,10945705.6,2259.2000000000003,10894862.2,2234.9999999999995,3263.7999999999993,0,81381.19999999998,8949.999999999998,10946560.2,8119.399999999996,2010-12-30
