week,S_med,E_med,I_med,A_med,R_med,incid_med,pop_med,cases_med,S_mean,E_mean,I_mean,A_mean,R_mean,incid_mean,pop_mean,cases_mean,S_lo,E_lo,I_lo,A_lo,R_lo,incid_lo,pop_lo,cases_lo,S_hi,E_hi,I_hi,A_hi,R_hi,incid_hi,pop_hi,cases_hi,date
1,10899318,2737,3377,0,9495,7730,10914948,6922,10899044.64,2826.52,3464.36,0,9597.44,7957,10914932.96,7244.44,10896542.6,2239.4,2974.6,0,8798,6768.200000000001,10914794.399999999,5754.8,10900720.4,3522.7999999999997,4339.8,0,10815.8,9940.8,10915057.4,9383.999999999998,2010-10-21
2,10890858,3161,3982,0,19494,10821,10918031,10196,10891287.64,3170.6,3959.24,0,19629.32,10562.16,10918046.8,9867.76,10886798.2,2173.8,3042.6000000000004,0,17382.6,8347.8,10917833,7514.800000000001,10895103.2,4348.799999999999,4968.2,0,22874.6,12890,10918208,12446.4,2010-10-28
3,10881704,3228,4378,0,31743,11631,10921150,10184,10882605.48,3396.12,4260.6,0,30893.52,11626.24,10921155.72,10515.64,10872961,2316,2827,0,25938,7928.799999999999,10920943.6,7227.799999999999,10889800.2,5239.799999999999,6096,0,36918,16801.6,10921372.4,14755.399999999996,2010-11-04
4,10872862,3273,4424,0,44049,12405,10924303,10945,10873188.36,3531.2,4637.28,0,42946.64,12523.6,10924303.48,11238.52,10857756.2,2297,2976.6,0,34199.2,8418.2,10924002.399999999,7272,10884536.2,5743.199999999999,6650.2,0,54010,17763.4,10924571.399999999,15168.599999999997,2010-11-11
5,10864897,3445,4282,0,55679,11915,10927430,11155,10863389.2,3658.6,4700.84,0,55683.32,12924.76,10927431.96,12008.16,10841609.8,2252.6,2731.8,0,42271,7903.5999999999995,10927132,7287.8,10880091.2,5645.4,7238.999999999999,0,73198,19903.8,10927709.6,18469.399999999998,2010-11-18
6,10856985,3672,4689,0,66062,12485,10930501,11632,10853205.32,3804,4922.08,0,68612.72,13309.04,10930544.12,12554.76,10825946.8,1958.2,2863.8,0,49711.8,7834.8,10930269.8,7248,10875585.4,6759.199999999999,7974.799999999999,0,92071,21221.999999999996,10930882.399999999,21365.199999999997,2010-11-25
7,10848565,3588,4509,0,78390,12196,10933614,11266,10843089.96,3616.72,4944.64,0,81994.08,13591.88,10933645.4,12358.52,10807540.8,1978.6,2675.6000000000004,0,57525.40000000001,7661,10933401.6,6903.800000000001,10871276.6,5745.5999999999995,8460.399999999998,0,111890.79999999999,23474.199999999997,10934042.2,20382.59999999999,2010-12-02
8,10839739,3285,4410,0,88946,12570,10936772,11123,10834102.28,3310.36,4513.6,0,94857.96,12657.72,10936784.2,11646.96,10792920.6,1728.8,2241.7999999999997,0,64298.600000000006,6491.8,10936505.2,6315.8,10868301,4850,7097.799999999999,0,132451,19702.4,10937161.2,18136,2010-12-09
9,10831647,3370,4358,0,101183,11723,10939879,11286,10825387.64,3311.12,4379,0,106793.32,12056.04,10939871.08,11228.8,10778719.2,1647.6,1995.4,0,70164.6,5791.4,10939561.8,5367.6,10865865,4957.5999999999995,6761.799999999999,0,150202,18930.399999999998,10940276.2,17677.399999999998,2010-12-16
10,10819442,3395,4536,0,114249,12693,10942984,10956,10816841.96,3324.88,4284.76,0,118561.08,11955.08,10943012.68,10939.96,10764714.399999999,1491,1834.4,0,75386.6,5295.4,10942629.399999999,5231.8,10864171.399999999,5080.5999999999995,6177.999999999999,0,166912.8,17083,10943437.600000001,15741,2010-12-23
11,10810671,3151,4074,0,127372,12128,10946128,10694,10809088.64,2926.72,4093.24,0,130004.92,11559.44,10946113.52,10701.72,10752176,1326.8000000000002,1729.2,0,80285.8,5063,10945725.2,4990,10862195.4,4677.5999999999985,6351.5999999999985,0,183760,17994.199999999997,10946495.6,16219.399999999996,2010-12-30
12,10804744,2647,3757,0,139480,10895,10949240,10221,10802519.76,2734.64,3680.32,0,140318.72,10239.88,10949253.44,9657.04,10743553.8,1019,1578.1999999999998,0,85035.8,4662.8,10948827.4,4377.4,10860995.2,4308.799999999999,5637,0,197808.4,15810.8,10949672.8,15965,2011-01-06
13,10801448,2792,3443,0,146351,9245,10952353,8213,10796339.6,2722.88,3521.84,0,149795.68,9681,10952380,8916.04,10735818.8,898.8000000000001,1380.8000000000002,0,89041.6,3868.3999999999996,10951971.4,3746.2000000000003,10860710.2,4697,5541.799999999999,0,209112.39999999997,15600.8,10952810.2,13746.599999999999,2011-01-13
14,10798781,2388,3496,0,152635,9461,10955491,7909,10790531.64,2558.16,3399.88,0,159017.52,9495.6,10955507.2,8611.36,10727531.8,833.4,1090,0,92444,3326.8,10955133.8,3311.4000000000005,10860969,4230.2,5757.799999999999,0,219775.79999999996,16019.6,10955907,14461.4,2011-01-20
