week,S_med,E_med,I_med,A_med,R_med,incid_med,pop_med,cases_med,S_mean,E_mean,I_mean,A_mean,R_mean,incid_mean,pop_mean,cases_mean,S_lo,E_lo,I_lo,A_lo,R_lo,incid_lo,pop_lo,cases_lo,S_hi,E_hi,I_hi,A_hi,R_hi,incid_hi,pop_hi,cases_hi,date
1,10915606,236,231,0,11,330,10916253,8,10915606.44,367.4,235.16,0,62.2,291.4,10916271.2,442.12,10914476.2,0,0,0,7.6,5,10916017.600000001,0,10916519.2,1235.3999999999999,755.8,0,296.99999999999943,872.5999999999999,10916530.2,4104.599999999995,2010-10-21
2,10920102,3,54,0,732,364,10920859,4,10920013.44,10.16,93.08,0,736,533,10920852.68,639.28,10918969.4,0,0,0,11,0,10920540.8,0,10921163.8,65.39999999999992,411.5999999999998,0,1527,1454.7999999999993,10921174.8,4745.199999999997,2010-10-28
3,10924272,0,2,0,781,3,10925462,0,10924579.96,86.12,4,0,832.6,9.96,10925502.68,1.72,10923601.600000001,0,0,0,11,0,10925168.8,0,10925829,726.3999999999999,18.599999999999994,0,1701.7999999999997,63.99999999999992,10925868.2,17.39999999999995,2010-11-04
4,10928147,14,135,0,1233,417,10929980,0,10928572.6,113.12,195.36,0,1099.84,460.48,10929980.92,793.36,10927000.8,0,0,0,10.600000000000001,0,10929559.8,0,10930470.4,696.399999999999,533.3999999999999,0,2094.8,1154.1999999999998,10930481,7354.199999999981,2010-11-11
5,10932771,0,10,0,1712,38,10934637,0,10933177.24,2.48,32.16,0,1437.52,176.88,10934649.4,51.24,10931679,0,0,0,9.6,0,10934228.600000001,0,10935205.6,20.79999999999999,172.99999999999986,0,2698.2,1086.1999999999998,10935215.2,405.79999999999984,2010-11-18
6,10937015,0,2,0,1885,2,10939191,0,10937472.56,101.44,136.64,0,1525,196.04,10939235.64,985.08,10935543,0,0,0,9.6,0,10938470,0,10940007,499.3999999999998,669.8,0,2724.8,934.9999999999995,10940017.2,8645.599999999988,2010-11-25
7,10941410,0,29,0,2088,148,10943693,0,10941956.88,11.56,63.96,0,1824.36,231,10943856.76,366.12,10940031.4,0,0,0,9.6,0,10943135.8,0,10944590.399999999,85.79999999999986,332.39999999999964,0,3156.8,890.3999999999999,10944600,3631.5999999999894,2010-12-02
8,10945917,0,1,0,2284,1,10948359,0,10946490.28,38.72,21.52,0,1951.56,90,10948502.08,115.6,10944604,0,0,0,9,0,10947799.4,0,10949346.2,438.7999999999998,225.79999999999993,0,3250.6,970.5999999999999,10949356.399999999,1236.7999999999993,2010-12-09
9,10950449,0,0,0,2293,0,10952950,0,10950888.44,36.16,61.92,0,2097.64,191.48,10953084.16,154.04,10948263.2,0,0,0,9,0,10952003.6,0,10954080.399999999,369.5999999999997,329.39999999999986,0,3696.8,902.1999999999999,10954134,1464.7999999999956,2010-12-16
10,10955102,0,0,0,2290,0,10957678,0,10955457.24,21.64,34.2,0,2213.32,93.28,10957726.4,10.8,10952715.2,0,0,0,9,0,10956678.8,0,10958819.4,240.7999999999999,341.1999999999997,0,3888.4,687.1999999999996,10958862.2,95.1999999999997,2010-12-23
