week,S_med,E_med,I_med,A_med,R_med,incid_med,pop_med,cases_med,S_mean,E_mean,I_mean,A_mean,R_mean,incid_mean,pop_mean,cases_mean,S_lo,E_lo,I_lo,A_lo,R_lo,incid_lo,pop_lo,cases_lo,S_hi,E_hi,I_hi,A_hi,R_hi,incid_hi,pop_hi,cases_hi,date
1,10909655,1093,1333,0,2840,4140,10914931,3693,10909670.32,1089.84,1335,0,2829.76,4142.12,10914924.92,4415.72,10909455.2,1023,1288.1999999999998,0,2761.3999999999996,4053.2,10914784.8,2078.2,10909905.2,1142.8,1399.4,0,2886.8,4240.799999999999,10915080,9918.599999999995,2010-10-21
2,10908411,1266,1555,0,6774,4185,10918072,3476,10908449.64,1262.16,1566.52,0,6784.64,4197.56,10918062.96,3741.08,10908156.6,1174,1451.6,0,6616.2,4020,10917897.8,1562.6000000000001,10908827.4,1326.2,1680.8,0,6995.5999999999995,4407.2,10918232.8,6683.199999999999,2010-10-28
3,10906602,1410,1783,0,11293,4758,10921156,3948,10906656.4,1415.68,1773.52,0,11319.88,4766.52,10921165.48,4115.16,10906009.2,1320.8000000000002,1626.2,0,10857.6,4399.2,10920986.2,1589.4,10907331.2,1556.8,1923.8,0,11742.4,5106,10921426.8,8320.599999999995,2010-11-04
4,10904441,1488,1929,0,16315,5250,10924250,4925,10904515.16,1511.12,1910.28,0,16355.52,5208.36,10924292.08,5211.64,10903308.8,1305,1718,0,15538.8,4717.8,10923991.8,2386.6000000000004,10905748.8,1718.6,2114,0,17281.2,5762,10924591.6,9236,2010-11-11
5,10902202,1597,2039,0,21665,5490,10927424,4365,10902098.88,1590.04,2021.32,0,21708.88,5513.8,10927419.12,4223.64,10900090.600000001,1411.8000000000002,1782.6,0,20411.8,4919.6,10927099.4,1922.2000000000003,10903924,1816.8,2329,0,23266,6240.5999999999995,10927738.4,7107.999999999998,2010-11-18
6,10899572,1579,2047,0,27110,5618,10930521,4531,10899531.28,1614.36,2078.8,0,27306.72,5718.68,10930531.16,5544.96,10896676.2,1436.8,1851,0,25352.2,5105.2,10930136.2,2527.8,10901914,1876.8,2359.3999999999996,0,29663.8,6503.2,10930895.8,12269.399999999996,2010-11-25
7,10897048,1589,2093,0,32650,5702,10933647,4982,10896923.16,1623.44,2096.8,0,33001.4,5788.84,10933644.8,5502.88,10893393.600000001,1395.6,1823,0,30412.4,5145.2,10933255.8,2185.4,10899953.8,1835.6,2388.6,0,36153,6598,10934011.6,10162.199999999997,2010-12-02
8,10894534,1589,2070,0,38120,5695,10936788,4328,10894365.76,1611.12,2100.32,0,38711.48,5802.4,10936788.68,5097.16,10889980.8,1411.4,1847.8000000000002,0,35444.4,5087.4,10936366.8,1382,10898022.8,1879.6,2383,0,42728.6,6634.4,10937216.4,10368.999999999998,2010-12-09
9,10891979,1562,2071,0,43794,5629,10939948,4508,10891871.52,1602.96,2082,0,44370.88,5745.24,10939927.36,4842.6,10886463.4,1414.2,1851.2000000000003,0,40476.6,5082.8,10939452.600000001,2660.4,10896144,1879.8,2373.8,0,49296.4,6669.6,10940359.4,8842.399999999994,2010-12-16
10,10889563,1603,2078,0,49534,5673,10943126,5035,10889375,1613.96,2081,0,49991.8,5737.32,10943061.76,5331.6,10883004.8,1427.2,1843.1999999999998,0,45572.4,5004.4,10942562.4,1365.6,10894131.600000001,1902.1999999999998,2472,0,55758,6680.2,10943540.2,10374.399999999998,2010-12-23
11,10887105,1558,2031,0,55251,5579,10946182,5154,10886895.92,1592.52,2092,0,55594,5745.52,10946174.44,5624.4,10879559.600000001,1398.1999999999998,1858.1999999999998,0,50713.8,5061.2,10945653.600000001,1240.6000000000001,10892144.600000001,1889.4,2469.4,0,62394,6818.4,10946750.6,11528.2,2010-12-30
