week,S_med,E_med,I_med,A_med,R_med,incid_med,pop_med,cases_med,S_mean,E_mean,I_mean,A_mean,R_mean,incid_mean,pop_mean,cases_mean,S_lo,E_lo,I_lo,A_lo,R_lo,incid_lo,pop_lo,cases_lo,S_hi,E_hi,I_hi,A_hi,R_hi,incid_hi,pop_hi,cases_hi,date
1,10889930,3880,5074,0,16067,12134,10914936,11786,10889927,3872.52,5079.24,0,16067.44,12139.84,10914946.2,12849.4,10889557.8,3738.6000000000004,4885.2,0,15923.199999999999,11921,10914827.600000001,5987.8,10890256.600000001,3998.6,5230.799999999999,0,16222.6,12398.2,10915071.600000001,19546.6,2010-10-21
2,10879976,3586,4790,0,29683,13393,10918071,10795,10879953.12,3599.2,4802.72,0,29704.04,13417.36,10918059.08,12363.24,10879189.600000001,3468.4,4626.2,0,29326.800000000003,13063.8,10917919.2,7776.6,10880510,3758.2,4985.6,0,30229.399999999998,13809,10918232.4,21120.6,2010-10-28
3,10871050,3273,4413,0,42327,12420,10921171,10304,10871023.8,3295,4440.92,0,42412.44,12435.72,10921172.16,10535.8,10869800.8,3178.4,4260.2,0,41673.399999999994,12052.2,10921019.2,5023.4000000000005,10871921,3490.8,4726.6,0,43274.8,12971.599999999999,10921358.8,19070,2010-11-04
4,10863501,2980,3998,0,53920,11203,10924319,11478,10863313.08,2979.12,4004.52,0,54016.2,11286.8,10924312.92,11479.08,10861669.4,2844.4,3795.2,0,53040.600000000006,10857.2,10924127.2,6314.200000000001,10864411.6,3094.6000000000004,4189.2,0,55391.2,11903.4,10924504.6,19222.59999999999,2010-11-11
5,10857127,2656,3598,0,64019,10203,10927384,7995,10856800.48,2644.6,3572.52,0,64398.56,10100.88,10927416.16,8445.36,10854610,2500,3360,0,63174.8,9580.8,10927220.2,6007.799999999999,10858314.8,2771.2,3738.4,0,66291,10556,10927647.600000001,11794.2,2010-11-18
6,10851761,2327,3168,0,73377,9000,10930595,9160,10851451.64,2324.52,3153.32,0,73604.76,8960.52,10930534.24,9949.76,10848935.8,2186.8,2940,0,71961.4,8485,10930274.2,5688.4,10853364.399999999,2530.3999999999996,3310.2,0,75877.59999999999,9386.4,10930871,15164.199999999993,2010-11-25
7,10847643,2050,2774,0,81449,7823,10933633,7968,10847157.48,2051.8,2767.16,0,81635.8,7842.48,10933612.24,8343.84,10844394.4,1924.6000000000001,2584.6,0,79682.4,7364,10933305.600000001,4597.200000000001,10849367.4,2179.6,3003.2,0,84165.2,8394.4,10934010.6,12186.6,2010-12-02
8,10844033,1780,2420,0,88516,6905,10936676,5669,10843871.24,1785.88,2431.36,0,88635.12,6881.24,10936723.6,6133.92,10840858.2,1623.6,2264.4,0,86387.8,6426.6,10936366.2,3215.8,10846342.6,1933.7999999999997,2629.3999999999996,0,91397.8,7374,10937062.4,9820.4,2010-12-09
9,10841484,1593,2127,0,94837,6037,10939822,6020,10841370.76,1582.6,2149.2,0,94750.24,6060.4,10939852.8,5792.88,10838167,1412.4,1940.6,0,92200.20000000001,5522.8,10939489,2652.6000000000004,10844186,1715.3999999999999,2327,0,97695,6529.799999999999,10940297.2,9682.199999999997,2010-12-16
10,10839596,1434,1901,0,100303,5431,10942989,5158,10839529.96,1414.36,1896.8,0,100147.36,5392.36,10942988.48,5316.64,10836193.2,1287.8,1715.6,0,97139.4,4904,10942598,2616.4,10842770,1537.6,2066.4,0,103124.6,5847.799999999999,10943495,8794.799999999997,2010-12-23
11,10838394,1269,1693,0,104989,4838,10946094,4794,10838271.96,1272.48,1696.36,0,104876.12,4790.52,10946116.92,4611.32,10834737.2,1145.8,1507,0,101398.4,4306.8,10945671.600000001,2066.8,10841973.8,1413.6,1875,0,108109.4,5215,10946694.399999999,6929.5999999999995,2010-12-30
